SP;KM ;LATITUDE;LONGITUDE
SP 073;35,700;-23.152178;-47.25679
SP 073;36,000;-23.154327;-47.258543
SP 073;36,500;-23.156347;-47.261614
SP 073;37,000;-23.160226;-47.264834
SP 073;37,500;-23.167878;-47.268992
SP 073;38,000;-23.168839;-47.268961
SP 073;38,500;-23.170805;-47.26948
SP 073;39,000;-23.171709;-47.268804
SP 073;39,500;-23.178815;-47.265868
SP 073;41,000;-23.188759;-47.279236
SP 073;41,200;-23.1889;-47.27998
SP 079;39,000;-23.21528;-47.29768
SP 079;40,000;-23.22125;-47.30068
SP 079;41,000;-23.22538;-47.30191
SP 079;42,000;-23.23215;-47.30402
SP 079;43,000;-23.23986;-47.30482
SP 079;44,000;-23.24669;-47.30425
SP 079;45,000;-23.25426;-47.30117
SP 079;49,000;-23.28782;-47.29342
SP 079;50,000;-23.29468;-47.30139
SP 079;51,000;-23.30191;-47.30361
SP 079;52,000;-23.31048;-47.30406
SP 079;53,000;-23.31889;-47.30086
SP 079;54,000;-23.32807;-47.30279
SP 079;55,000;-23.33695;-47.306
SP 079;56,000;-23.34538;-47.30736
SP 079;57,000;-23.35459;-47.30895
SP 079;58,000;-23.3625;-47.30839
SP 079;59,000;-23.37007;-47.31434
SP 079;60,000;-23.37256;-47.32365
SP 079;61,000;-23.37832;-47.33087
SP 079;62,000;-23.38435;-47.33747
SP 079;63,000;-23.3906;-47.3475
SP 079;64,000;-23.39675;-47.35448
SP 079;65,000;-23.39723;-47.36309
SP 079;66,000;-23.39805;-47.37163
SP 079;67,000;-23.40231;-47.38044
SP 079;68,000;-23.4079;-47.38406
SP 079;69,000;-23.41416;-47.39035
SP 079;70,000;-23.41535;-47.40167
SP 079;71,000;-23.41852;-47.4092
SP 079;72,000;-23.42727;-47.41494
SP 079;73,000;-23.43491;-47.41591
SP 079;74,000;-23.44334;-47.41705
SP 079;75,000;-23.4517;-47.41817
SP 079;76,000;-23.46186;-47.42268
SP 079;77,000;-23.46754;-47.42446
SP 097;0,000;-23.44926;-47.51353
SP 097;0,000;-23.4493;-47.51367
SP 097;1,000;-23.44231;-47.51488
SP 097;1,000;-23.44245;-47.51491
SP 097;2,000;-23.43614;-47.51113
SP 097;3,000;-23.42647;-47.51761
SP 097;4,000;-23.41756;-47.5204
SP 097;4,000;-23.41759;-47.52075
SP 097;5,000;-23.40674;-47.52125
SP 097;6,000;-23.4006;-47.5167
SP 097;7,000;-23.39244;-47.51646
SP 097;8,000;-23.38244;-47.51754
SP 097;9,000;-23.37491;-47.52639
SP 097;10,000;-23.36802;-47.5328
SP 097;11,000;-23.36001;-47.53383
SP 097;12,000;-23.3535;-47.53109
SP 097;13,000;-23.3535;-47.53109
SP 097;14,000;-23.34291;-47.52918
SP 097;15,000;-23.3281;-47.52864
SP 097;16,000;-23.31795;-47.53161
SP 097;17,000;-23.30916;-47.53325
SP 097;18,000;-23.30005;-47.53334
SP 097;19,000;-23.2909;-47.52953
SP 097;20,000;-23.28283;-47.52623
SP 097;21,000;-23.27365;-47.52243
SP 097;22,000;-23.26476;-47.52115
SP 097;23,000;-23.25617;-47.52063
SP 097;23,000;-23.25589;-47.52063
SP 097;24,000;-23.24687;-47.51745
SP 097;24,000;-23.24883;-47.51818
SP 097;25,000;-23.23803;-47.51791
SP 097;25,000;-23.23761;-47.51817
SP 127;213,500;-23.99033;-48.32909
SP 127;213,500;-23.98954;-48.32813
SP 127;214,000;-23.99363;-48.33213
SP 127;214,000;-23.99325;-48.3316
SP 127;215,000;-23.99986;-48.33695
SP 127;215,000;-24.00041;-48.33722
SP 127;216,000;-24.00778;-48.34117
SP 127;216,000;-24.00785;-48.34113
SP 129;0,000;-23.22621;-47.5705
SP 129;1,000;-23.22415;-47.57604
SP 129;2,000;-23.22773;-47.58031
SP 129;3,000;-23.23115;-47.58321
SP 129;4,000;-23.23601;-47.59175
SP 129;5,000;-23.24534;-47.60862
SP 129;6,000;-23.25129;-47.61644
SP 129;7,000;-23.25162;-47.61665
SP 129;8,000;-23.26023;-47.6323
SP 129;9,000;-23.26215;-47.643
SP 129;10,000;-23.26218;-47.64295
SP 129;11,000;-23.26886;-47.6632
SP 129;12,000;-23.26658;-47.67115
SP 129;12,000;-23.26658;-47.66963
SP 129;13,000;-23.27064;-47.68038
SP 129;14,000;-23.27388;-47.68863
SP 129;15,000;-23.27754;-47.69753
SP 129;16,000;-23.28396;-47.71092
SP 129;17,000;-23.28231;-47.71703
SP 129;18,000;-23.28329;-47.72627
SP 129;19,000;-23.28593;-47.73462
